task_id,status,num_train_cases,input_shapes,output_shapes,shape_relation,color_relation,changed_cells_total,top_failure_reason,reason_family
task004,failed,2,8x9 14x9,8x9 14x9,variable_shapes,same_color_set,28,input_output_not_identical,other
task005,failed,3,21x21,21x21,same_size,same_color_set,92,input_output_not_identical,other
task007,failed,3,7x7,7x7,same_size,output_subset_colors,114,input_output_not_identical,other
task008,failed,3,9x10 11x10 14x9,9x10 11x10 14x9,variable_shapes,same_color_set,50,input_output_not_identical,other
task009,failed,3,20x20 23x23,20x20 23x23,variable_shapes,same_color_set,92,input_output_not_identical,other
task010,failed,2,9x9,9x9,same_size,changed_color_set,45,input_output_not_identical,other
task011,failed,4,11x11,11x11,same_size,output_subset_colors,227,input_output_not_identical,other
task012,failed,2,12x12,12x12,same_size,same_color_set,48,input_output_not_identical,other
task013,failed,4,7x23 10x25 22x9 24x8,7x23 10x25 22x9 24x8,variable_shapes,same_color_set,255,input_output_not_identical,other
task014,failed,3,18x19 19x17 21x21,7x9 9x6 10x10,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task015,failed,3,9x9,9x9,same_size,output_superset_colors,32,input_output_not_identical,other
task017,failed,3,21x21,21x21,same_size,output_subset_colors,179,input_output_not_identical,other
task018,failed,3,14x15 14x18 16x14,14x15 14x18 16x14,variable_shapes,same_color_set,60,input_output_not_identical,other
task019,failed,4,2x4 3x4 4x4 5x3,4x8 6x8 8x8 10x6,variable_shapes,output_superset_colors,0,output_size_differs_from_input_size,shape
task020,failed,3,10x10,10x10,same_size,same_color_set,9,input_output_not_identical,other
task021,failed,3,11x11 15x15 27x27,2x4 3x2 6x5,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task022,failed,3,11x11,3x3,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task023,failed,3,8x9 8x10 9x11,8x9 8x10 9x11,variable_shapes,changed_color_set,56,input_output_not_identical,other
task024,failed,3,9x9 10x8 10x11,9x9 10x8 10x11,variable_shapes,same_color_set,91,input_output_not_identical,other
task025,failed,3,15x14 15x16 18x19,15x14 15x16 18x19,variable_shapes,same_color_set,28,input_output_not_identical,other
task027,failed,3,10x10,10x10,same_size,output_superset_colors,28,input_output_not_identical,other
task028,failed,2,10x10,10x10,same_size,same_color_set,100,input_output_not_identical,other
task029,failed,3,13x16 17x18 23x21,5x3 6x8 8x10,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task030,failed,3,5x10 10x10,5x10 10x10,variable_shapes,same_color_set,36,input_output_not_identical,other
task032,failed,3,4x4 5x5 6x6,4x4 5x5 6x6,variable_shapes,same_color_set,20,input_output_not_identical,other
task033,failed,3,17x17,17x17,same_size,same_color_set,117,input_output_not_identical,other
task034,failed,4,9x9,9x9,same_size,output_subset_colors,85,input_output_not_identical,other
task035,failed,3,10x10,10x10,same_size,same_color_set,14,input_output_not_identical,other
task036,failed,2,30x30,3x3 5x3,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task037,failed,3,10x10,10x10,same_size,same_color_set,28,input_output_not_identical,other
task038,failed,3,9x9,1x5,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task039,failed,2,10x10,3x3,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task040,failed,3,10x10,10x10,same_size,output_subset_colors,14,input_output_not_identical,other
task041,failed,3,10x10,10x10,same_size,same_color_set,42,input_output_not_identical,other
task042,failed,3,10x10,10x10,same_size,output_superset_colors,12,input_output_not_identical,other
task043,failed,3,10x10,10x10,same_size,output_superset_colors,38,input_output_not_identical,other
task044,failed,3,10x10,10x10,same_size,same_color_set,56,input_output_not_identical,other
task045,failed,3,10x10,10x10,same_size,same_color_set,24,input_output_not_identical,other
task046,failed,4,3x9 3x11,3x7 3x8 3x9,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task047,failed,2,9x9,9x9,same_size,output_superset_colors,60,input_output_not_identical,other
task049,failed,5,10x10 10x15 13x15 18x15 20x20,2x2 2x3 3x2 3x3 3x4,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task050,failed,8,3x3 5x6 7x6 7x13 9x6 10x11 12x11,3x3 5x6 7x6 7x13 9x6 10x11 12x11,variable_shapes,output_superset_colors,44,input_output_not_identical,other
task051,failed,3,10x15 12x12 15x12,10x15 12x12 15x12,variable_shapes,same_color_set,24,input_output_not_identical,other
task052,failed,4,3x3,3x3,same_size,changed_color_set,36,input_output_not_identical,other
task054,failed,3,30x30,30x30,same_size,same_color_set,239,input_output_not_identical,other
task055,failed,2,12x14 18x19,12x14 18x19,variable_shapes,output_superset_colors,212,input_output_not_identical,other
task056,failed,7,3x3,1x1,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task057,failed,3,8x8,3x6,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task058,failed,5,6x6 8x8 10x10 13x13 15x15,6x6 8x8 10x10 13x13 15x15,variable_shapes,output_superset_colors,348,input_output_not_identical,other
task059,failed,3,11x11,11x11,same_size,same_color_set,48,input_output_not_identical,other
task060,failed,2,5x11,5x11,same_size,output_superset_colors,18,input_output_not_identical,other
task061,failed,4,18x18,18x18,same_size,output_subset_colors,161,input_output_not_identical,other
task062,failed,4,10x10,10x10,same_size,changed_color_set,383,input_output_not_identical,other
task063,failed,3,10x10 12x12,10x10 12x12,variable_shapes,output_superset_colors,122,input_output_not_identical,other
task064,failed,4,9x12 10x12 14x12 14x18,9x12 10x12 14x12 14x18,variable_shapes,same_color_set,21,input_output_not_identical,other
task066,failed,3,10x10 15x15 20x20,10x10 15x15 20x20,variable_shapes,same_color_set,44,input_output_not_identical,other
task067,failed,3,2x6 3x9 4x12,2x2 3x3 4x4,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task068,failed,3,10x10,10x10,same_size,output_subset_colors,79,input_output_not_identical,other
task069,failed,2,10x10,10x10,same_size,output_subset_colors,36,input_output_not_identical,other
task070,failed,3,17x17,17x17,same_size,output_superset_colors,31,input_output_not_identical,other
task071,failed,2,16x16,16x16,same_size,output_subset_colors,28,input_output_not_identical,other
task074,failed,4,30x30,30x30,same_size,output_subset_colors,304,input_output_not_identical,other
task075,failed,3,9x13,9x13,same_size,output_subset_colors,117,input_output_not_identical,other
task076,failed,3,13x13,13x13,same_size,same_color_set,24,input_output_not_identical,other
task077,failed,3,15x14 15x16 17x18,15x14 15x16 17x18,variable_shapes,output_superset_colors,40,input_output_not_identical,other
task078,failed,3,10x10,10x10,same_size,same_color_set,38,input_output_not_identical,other
task079,failed,3,14x14,3x3,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task080,failed,3,24x24 27x27,24x24 27x27,variable_shapes,same_color_set,201,input_output_not_identical,other
task082,failed,2,6x7 6x10,6x7 6x10,variable_shapes,same_color_set,24,input_output_not_identical,other
task083,failed,3,3x4,6x8,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task084,failed,3,3x3 7x7 15x15,3x3 7x7 15x15,variable_shapes,output_superset_colors,44,input_output_not_identical,other
task085,failed,2,8x20 8x30,8x20 8x30,variable_shapes,same_color_set,29,input_output_not_identical,other
task086,failed,3,10x10,10x10,same_size,same_color_set,117,input_output_not_identical,other
task088,failed,4,7x7 12x9 12x14 12x18,3x3 3x5 4x4 4x8,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task089,failed,4,13x13,13x13,same_size,same_color_set,34,input_output_not_identical,other
task090,failed,4,2x20 3x30 4x20,2x20 3x30 4x20,variable_shapes,output_superset_colors,33,input_output_not_identical,other
task091,failed,3,9x9 9x11 11x13,5x5 5x7 6x5,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task092,failed,2,20x10 30x20,20x10 30x20,variable_shapes,same_color_set,50,input_output_not_identical,other
task093,failed,3,14x14,14x14,same_size,output_subset_colors,49,input_output_not_identical,other
task094,failed,2,15x15,15x15,same_size,output_superset_colors,73,input_output_not_identical,other
task096,failed,3,13x17 18x18,7x7 11x11,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task097,failed,4,11x19 12x18 16x11 17x9,11x19 12x18 16x11 17x9,variable_shapes,same_color_set,42,input_output_not_identical,other
task098,failed,3,8x7 11x12 18x16,8x7 11x12 18x16,variable_shapes,same_color_set,56,input_output_not_identical,other
task099,failed,3,10x10,10x10,same_size,same_color_set,52,input_output_not_identical,other
task100,failed,3,10x10,2x2,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task101,failed,3,14x12,14x12,same_size,same_color_set,53,input_output_not_identical,other
task102,failed,4,12x12,12x12,same_size,output_superset_colors,30,input_output_not_identical,other
task103,failed,6,3x3,1x1,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task104,failed,2,3x3,9x9,integer_scale_or_tile,output_subset_colors,0,output_size_differs_from_input_size,shape
task105,failed,3,9x13 11x13 13x13,9x13 11x13 13x13,variable_shapes,output_superset_colors,33,input_output_not_identical,other
task106,failed,3,2x2 3x3,4x4 6x6,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task107,failed,3,5x5,10x10 15x15 20x20,variable_shapes,output_superset_colors,0,output_size_differs_from_input_size,shape
task108,failed,3,10x10,20x20,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task109,failed,3,7x7 9x9 11x11,6x6 8x8 10x10,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task110,failed,3,29x29,29x29,same_size,output_subset_colors,237,input_output_not_identical,other
task111,failed,3,10x10,3x3,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task112,failed,3,10x10 12x14 20x30,10x10 12x14 20x30,variable_shapes,same_color_set,48,input_output_not_identical,other
task113,failed,2,10x3 10x5,10x3 10x5,variable_shapes,same_color_set,19,input_output_not_identical,other
task114,failed,3,2x2 2x3 3x3,4x4 4x5 5x5,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task115,failed,3,9x7 11x9 14x16,1x3 3x1 4x1,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task117,failed,3,12x12 14x14,12x12 14x14,variable_shapes,same_color_set,66,input_output_not_identical,other
task118,failed,4,11x12 18x19 20x20 20x22,11x12 18x19 20x20 20x22,variable_shapes,output_superset_colors,32,input_output_not_identical,other
task119,failed,3,12x12,12x12,same_size,output_superset_colors,28,input_output_not_identical,other
task120,failed,3,12x11 12x13 13x15,12x11 12x13 13x15,variable_shapes,output_superset_colors,60,input_output_not_identical,other
task121,failed,3,13x13,3x3,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task122,failed,3,7x7 7x13 13x7,7x7 7x13 13x7,variable_shapes,same_color_set,30,input_output_not_identical,other
task123,failed,3,5x5,10x10,integer_scale_or_tile,output_subset_colors,0,output_size_differs_from_input_size,shape
task124,failed,3,5x10 6x10 8x10,10x10,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task125,failed,2,15x15,15x15,same_size,output_superset_colors,142,input_output_not_identical,other
task126,failed,3,5x5 5x7 8x8,5x5 5x7 8x8,variable_shapes,output_superset_colors,5,input_output_not_identical,other
task127,failed,4,3x11 7x11,3x11 7x11,variable_shapes,changed_color_set,135,input_output_not_identical,other
task128,failed,3,15x15,15x15,same_size,same_color_set,168,input_output_not_identical,other
task129,failed,3,3x3,3x3,same_size,output_subset_colors,18,input_output_not_identical,other
task131,failed,3,4x16 17x5,4x16 17x5,variable_shapes,output_superset_colors,70,input_output_not_identical,other
task132,failed,4,6x11 7x8 10x10,6x11 7x8 10x10,variable_shapes,same_color_set,83,input_output_not_identical,other
task133,failed,4,15x18 16x12 16x18 17x18,15x18 16x12 16x18 17x18,variable_shapes,same_color_set,89,input_output_not_identical,other
task134,failed,3,20x24 22x23 24x23,3x3,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task136,failed,3,10x10,10x10,same_size,same_color_set,22,input_output_not_identical,other
task137,failed,3,23x23,23x23,same_size,same_color_set,525,input_output_not_identical,other
task138,failed,3,12x12 14x15 22x22,6x9 8x8 15x12,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task139,failed,2,9x9,9x9,same_size,output_superset_colors,11,input_output_not_identical,other
task141,failed,3,7x7 15x15,7x7 15x15,variable_shapes,same_color_set,50,input_output_not_identical,other
task142,failed,3,3x3,6x6,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task143,failed,3,10x10,10x10,same_size,output_subset_colors,12,input_output_not_identical,other
task145,failed,4,11x13 11x16 15x16 18x13,11x13 11x16 15x16 18x13,variable_shapes,output_superset_colors,332,input_output_not_identical,other
task146,failed,4,9x3,3x3,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task148,failed,3,19x8 20x10,19x8 20x10,variable_shapes,output_superset_colors,83,input_output_not_identical,other
task149,failed,4,11x11,3x3,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task151,failed,3,4x4 6x6 8x8,4x4 6x6 8x8,variable_shapes,output_superset_colors,24,input_output_not_identical,other
task152,failed,4,3x3,6x6,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task153,failed,3,10x10,3x3,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task154,failed,3,15x15,15x15,same_size,same_color_set,46,input_output_not_identical,other
task156,failed,2,10x10,10x10,same_size,output_superset_colors,23,input_output_not_identical,other
task157,failed,2,10x15,10x15,same_size,changed_color_set,76,input_output_not_identical,other
task158,failed,3,20x19 20x21 21x22,20x19 20x21 21x22,variable_shapes,same_color_set,89,input_output_not_identical,other
task159,failed,3,18x21 19x22 21x24,5x5 8x8 11x11,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task160,failed,2,10x10,10x10,same_size,output_superset_colors,36,input_output_not_identical,other
task161,failed,3,11x22 13x20 15x17,11x22 13x20 15x17,variable_shapes,output_subset_colors,188,input_output_not_identical,other
task162,failed,3,20x20,20x20,same_size,output_superset_colors,36,input_output_not_identical,other
task163,failed,4,11x11,11x11,same_size,output_subset_colors,114,input_output_not_identical,other
task165,failed,3,20x20,20x20,same_size,same_color_set,70,input_output_not_identical,other
task166,failed,3,7x8 9x8 14x10,7x8 9x8 14x10,variable_shapes,output_superset_colors,33,input_output_not_identical,other
task167,failed,5,3x3,3x3,same_size,changed_color_set,45,input_output_not_identical,other
task168,failed,2,10x10,10x10,same_size,same_color_set,14,input_output_not_identical,other
task169,failed,3,10x10,10x10,same_size,changed_color_set,45,input_output_not_identical,other
task170,failed,3,22x22 27x21 27x25,3x3 4x4,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task173,failed,3,13x12 13x22 14x19,13x12 13x22 14x19,variable_shapes,same_color_set,23,input_output_not_identical,other
task174,failed,3,10x10,2x2 2x4,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task175,failed,3,21x21,21x21,same_size,output_subset_colors,139,input_output_not_identical,other
task176,failed,3,3x10 3x15 3x18,3x10 3x15 3x18,variable_shapes,output_superset_colors,30,input_output_not_identical,other
task178,failed,5,3x3 3x5 4x2 6x4,1x3 1x4 3x1 4x1,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task179,failed,4,3x3,3x3,same_size,same_color_set,18,input_output_not_identical,other
task180,failed,5,8x8,4x4,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task181,failed,3,6x9,6x9,same_size,same_color_set,16,input_output_not_identical,other
task182,failed,4,20x20,20x20,same_size,same_color_set,49,input_output_not_identical,other
task183,failed,3,6x6 8x8,2x2 4x4,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task184,failed,3,18x22 20x20 23x17,2x2 2x3 3x2,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task185,failed,4,27x27 29x29,3x3,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task186,failed,10,3x3,3x3,same_size,changed_color_set,42,input_output_not_identical,other
task187,failed,3,22x25 23x23 24x21,22x25 23x23 24x21,variable_shapes,changed_color_set,1262,input_output_not_identical,other
task188,failed,3,3x6 4x8 6x2,3x2 3x3 4x4,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task189,failed,3,9x9,6x6,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task190,failed,3,10x10,10x10,same_size,same_color_set,14,input_output_not_identical,other
task191,failed,4,23x23,23x23,same_size,same_color_set,115,input_output_not_identical,other
task192,failed,2,13x14 13x16,13x14 13x16,variable_shapes,output_subset_colors,28,input_output_not_identical,other
task193,failed,3,7x7 13x13 17x17,7x7 13x13 17x17,variable_shapes,same_color_set,22,input_output_not_identical,other
task194,failed,3,3x3,6x6,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task195,failed,3,16x18,9x9,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task196,failed,3,9x9 15x15,9x9 15x15,variable_shapes,output_superset_colors,62,input_output_not_identical,other
task197,failed,4,6x8 10x8 12x8,6x8 10x8 12x8,variable_shapes,same_color_set,43,input_output_not_identical,other
task198,failed,3,19x19 24x24 29x29,19x19 24x24 29x29,variable_shapes,changed_color_set,1314,input_output_not_identical,other
task199,failed,3,3x3 5x5 9x9,3x3 5x5 9x9,variable_shapes,output_superset_colors,38,input_output_not_identical,other
task200,failed,3,10x10,10x10,same_size,output_superset_colors,116,input_output_not_identical,other
task201,failed,4,13x13,4x6 5x6 6x8 7x8,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
