task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task001,True,outputs\onnx\task001.onnx,172,1433,,True
task002,True,outputs\onnx\task002.onnx,205,12507,,True
task003,True,outputs\onnx\task003.onnx,74,4167,,True
task004,True,outputs\onnx\task004.onnx,3115,2903,,True
task005,True,outputs\onnx\task005.onnx,1044,10910,,True
task006,True,outputs\onnx\task006.onnx,339,1364,,True
task007,True,outputs\onnx\task007.onnx,271,1603,,True
task008,True,outputs\onnx\task008.onnx,382,7667,,True
task009,True,outputs\onnx\task009.onnx,33147,30956,,True
task010,True,outputs\onnx\task010.onnx,521,6061,,True
task011,True,outputs\onnx\task011.onnx,7065,10170,,True
task012,True,outputs\onnx\task012.onnx,587,1948,,True
task013,True,outputs\onnx\task013.onnx,6795,18384,,True
task014,True,outputs\onnx\task014.onnx,0,14357,,True
task015,True,outputs\onnx\task015.onnx,4500,3798,,True
task016,True,outputs\onnx\task016.onnx,50,238,,True
task017,True,outputs\onnx\task017.onnx,2419,8620,,True
task018,True,outputs\onnx\task018.onnx,3315,32157,,True
task019,True,outputs\onnx\task019.onnx,16326,17887,,True
task020,True,outputs\onnx\task020.onnx,2406,31378,,True
task021,True,outputs\onnx\task021.onnx,16652,38201,,True
task022,True,outputs\onnx\task022.onnx,531,43895,,True
task023,True,outputs\onnx\task023.onnx,125,20163,,True
task024,True,outputs\onnx\task024.onnx,765,3233,,True
task025,True,outputs\onnx\task025.onnx,1289,93402,,True
task026,True,outputs\onnx\task026.onnx,312,1622,,True
task027,True,outputs\onnx\task027.onnx,36154,31135,,True
task028,True,outputs\onnx\task028.onnx,22600,19314,,True
task029,True,outputs\onnx\task029.onnx,978,13589,,True
task030,True,outputs\onnx\task030.onnx,5171,9441,,True
task031,True,outputs\onnx\task031.onnx,470,3417,,True
task032,True,outputs\onnx\task032.onnx,409,2347,,True
task033,True,outputs\onnx\task033.onnx,369,1510,,True
task034,True,outputs\onnx\task034.onnx,7701,11293,,True
task035,True,outputs\onnx\task035.onnx,1389,12869,,True
task036,True,outputs\onnx\task036.onnx,1299,5866,,True
task037,True,outputs\onnx\task037.onnx,25086,20424,,True
task038,True,outputs\onnx\task038.onnx,493,2357,,True
task039,True,outputs\onnx\task039.onnx,248,1913,,True
task040,True,outputs\onnx\task040.onnx,370,4104,,True
task041,True,outputs\onnx\task041.onnx,243,2228,,True
task042,True,outputs\onnx\task042.onnx,1356,11833,,True
task043,True,outputs\onnx\task043.onnx,777,1966,,True
task044,True,outputs\onnx\task044.onnx,6291,148684,,True
task045,True,outputs\onnx\task045.onnx,244,1438,,True
task046,True,outputs\onnx\task046.onnx,4446,8963,,True
task047,True,outputs\onnx\task047.onnx,747,3246,,True
task048,True,outputs\onnx\task048.onnx,462,5695,,True
task049,True,outputs\onnx\task049.onnx,942,3516,,True
task050,True,outputs\onnx\task050.onnx,675,2540,,True
task051,True,outputs\onnx\task051.onnx,667,3365,,True
task052,True,outputs\onnx\task052.onnx,283,1277,,True
task053,True,outputs\onnx\task053.onnx,270,175,,True
task054,True,outputs\onnx\task054.onnx,1061,9728,,True
task055,True,outputs\onnx\task055.onnx,5090,21458,,True
task056,True,outputs\onnx\task056.onnx,592,1515,,True
task057,True,outputs\onnx\task057.onnx,99,1880,,True
task058,True,outputs\onnx\task058.onnx,32257,27439,,True
task059,True,outputs\onnx\task059.onnx,12909,12715,,True
task060,True,outputs\onnx\task060.onnx,1057,3039,,True
task061,True,outputs\onnx\task061.onnx,17726,17030,,True
task062,True,outputs\onnx\task062.onnx,4713,22124,,True
task063,True,outputs\onnx\task063.onnx,276,3709,,True
task064,True,outputs\onnx\task064.onnx,978,5809,,True
task065,True,outputs\onnx\task065.onnx,561,2705,,True
task066,True,outputs\onnx\task066.onnx,430,180173,,True
task067,True,outputs\onnx\task067.onnx,165,892,,True
task068,True,outputs\onnx\task068.onnx,199,2335,,True
task069,True,outputs\onnx\task069.onnx,7362,32330,,True
task070,True,outputs\onnx\task070.onnx,258,11844,,True
task071,True,outputs\onnx\task071.onnx,8238,12082,,True
task072,True,outputs\onnx\task072.onnx,462,1625,,True
task073,True,outputs\onnx\task073.onnx,8318,6966,,True
task074,True,outputs\onnx\task074.onnx,321,1824,,True
task075,True,outputs\onnx\task075.onnx,509,7736,,True
task076,True,outputs\onnx\task076.onnx,1147810,948872,,True
task077,True,outputs\onnx\task077.onnx,6972,9860,,True
task078,True,outputs\onnx\task078.onnx,276,2588,,True
task079,True,outputs\onnx\task079.onnx,1301,2695,,True
task080,True,outputs\onnx\task080.onnx,9335,18484,,True
task081,True,outputs\onnx\task081.onnx,565,1476,,True
task082,True,outputs\onnx\task082.onnx,443,2282,,True
task083,True,outputs\onnx\task083.onnx,9000,7454,,True
task084,True,outputs\onnx\task084.onnx,722,4301,,True
task085,True,outputs\onnx\task085.onnx,558,2547,,True
task086,True,outputs\onnx\task086.onnx,1153,4727,,True
task087,True,outputs\onnx\task087.onnx,144,474,,True
task088,True,outputs\onnx\task088.onnx,10824,14980,,True
task089,True,outputs\onnx\task089.onnx,879,17792,,True
task090,True,outputs\onnx\task090.onnx,438,19660,,True
task091,True,outputs\onnx\task091.onnx,963,4627,,True
task092,True,outputs\onnx\task092.onnx,90,4299,,True
task093,True,outputs\onnx\task093.onnx,667,5415,,True
task094,True,outputs\onnx\task094.onnx,910,4915,,True
task095,True,outputs\onnx\task095.onnx,565,1476,,True
task096,True,outputs\onnx\task096.onnx,8858,64252,,True
task097,True,outputs\onnx\task097.onnx,1938,2494,,True
task098,True,outputs\onnx\task098.onnx,4605,4217,,True
task099,True,outputs\onnx\task099.onnx,24605,20220,,True
task100,True,outputs\onnx\task100.onnx,335,4954,,True
task101,True,outputs\onnx\task101.onnx,14360,39301,,True
task102,True,outputs\onnx\task102.onnx,1137,22167,,True
task103,True,outputs\onnx\task103.onnx,425,1669,,True
task104,True,outputs\onnx\task104.onnx,5414,6350,,True
task105,True,outputs\onnx\task105.onnx,36364,35291,,True
task106,True,outputs\onnx\task106.onnx,746,2939,,True
task107,True,outputs\onnx\task107.onnx,42039,31191,,True
task108,True,outputs\onnx\task108.onnx,9000,7454,,True
task109,True,outputs\onnx\task109.onnx,2541,5491,,True
task110,True,outputs\onnx\task110.onnx,4623,21494,,True
task111,True,outputs\onnx\task111.onnx,248,1457,,True
task112,True,outputs\onnx\task112.onnx,564,3987,,True
task113,True,outputs\onnx\task113.onnx,270,499,,True
task114,True,outputs\onnx\task114.onnx,934,4719,,True
task115,True,outputs\onnx\task115.onnx,429,5069,,True
task116,True,outputs\onnx\task116.onnx,270,479,,True
task117,True,outputs\onnx\task117.onnx,2194,8262,,True
task118,True,outputs\onnx\task118.onnx,9433,160396,,True
task119,True,outputs\onnx\task119.onnx,5856,25915,,True
task120,True,outputs\onnx\task120.onnx,4605,4217,,True
task121,True,outputs\onnx\task121.onnx,366,3339,,True
task122,True,outputs\onnx\task122.onnx,12605,10617,,True
task123,True,outputs\onnx\task123.onnx,8497,8997,,True
task124,True,outputs\onnx\task124.onnx,3113,4339,,True
task125,True,outputs\onnx\task125.onnx,644,3032,,True
task126,True,outputs\onnx\task126.onnx,347,2765,,True
task127,True,outputs\onnx\task127.onnx,4500,3772,,True
task128,True,outputs\onnx\task128.onnx,906,3365,,True
task129,True,outputs\onnx\task129.onnx,258,1196,,True
task130,True,outputs\onnx\task130.onnx,608,1293,,True
task131,True,outputs\onnx\task131.onnx,4943,12030,,True
task132,True,outputs\onnx\task132.onnx,436,3762,,True
task133,True,outputs\onnx\task133.onnx,1406822,783434,,True
task134,True,outputs\onnx\task134.onnx,600,7220,,True
task135,True,outputs\onnx\task135.onnx,54,381,,True
task136,True,outputs\onnx\task136.onnx,2229,4980,,True
task137,True,outputs\onnx\task137.onnx,2028,3864,,True
task138,True,outputs\onnx\task138.onnx,789,11562,,True
task139,True,outputs\onnx\task139.onnx,988,3865,,True
task140,True,outputs\onnx\task140.onnx,144,474,,True
task141,True,outputs\onnx\task141.onnx,409,2345,,True
task142,True,outputs\onnx\task142.onnx,9000,7454,,True
task143,True,outputs\onnx\task143.onnx,465,2690,,True
task144,True,outputs\onnx\task144.onnx,322,1639,,True
task145,True,outputs\onnx\task145.onnx,2979,31434,,True
task146,True,outputs\onnx\task146.onnx,208,1931,,True
task147,True,outputs\onnx\task147.onnx,560,1314,,True
task148,True,outputs\onnx\task148.onnx,1873,10573,,True
task149,True,outputs\onnx\task149.onnx,232,1404,,True
task150,True,outputs\onnx\task150.onnx,302,1320,,True
task151,True,outputs\onnx\task151.onnx,525,2352,,True
task152,True,outputs\onnx\task152.onnx,9000,7454,,True
task153,True,outputs\onnx\task153.onnx,26811,862351,,True
task154,True,outputs\onnx\task154.onnx,4966,7650,,True
task155,True,outputs\onnx\task155.onnx,311,1347,,True
task156,True,outputs\onnx\task156.onnx,2979,7856,,True
task157,True,outputs\onnx\task157.onnx,1023477,857911,,True
task158,True,outputs\onnx\task158.onnx,4613,95337,,True
task159,True,outputs\onnx\task159.onnx,12549,12966,,True
task160,True,outputs\onnx\task160.onnx,571,2362,,True
task161,True,outputs\onnx\task161.onnx,389,6008,,True
task162,True,outputs\onnx\task162.onnx,183,2268,,True
task163,True,outputs\onnx\task163.onnx,9439,13875,,True
task164,True,outputs\onnx\task164.onnx,270,479,,True
task165,True,outputs\onnx\task165.onnx,3162,4910,,True
task166,True,outputs\onnx\task166.onnx,289,1628,,True
task167,True,outputs\onnx\task167.onnx,1562,2375,,True
task168,True,outputs\onnx\task168.onnx,1667,9227,,True
task169,True,outputs\onnx\task169.onnx,4799,23816,,True
task170,True,outputs\onnx\task170.onnx,19255,64849,,True
task171,True,outputs\onnx\task171.onnx,155,1048,,True
task172,True,outputs\onnx\task172.onnx,270,479,,True
task173,True,outputs\onnx\task173.onnx,751,10108,,True
task174,True,outputs\onnx\task174.onnx,614,61839,,True
task175,True,outputs\onnx\task175.onnx,13787,12412,,True
task176,True,outputs\onnx\task176.onnx,696,1420,,True
task177,True,outputs\onnx\task177.onnx,945,4180,,True
task178,True,outputs\onnx\task178.onnx,3009,11303,,True
task179,True,outputs\onnx\task179.onnx,0,170,,True
task180,True,outputs\onnx\task180.onnx,9158,8128,,True
task181,True,outputs\onnx\task181.onnx,672,3083,,True
task182,True,outputs\onnx\task182.onnx,2930,70465,,True
task183,True,outputs\onnx\task183.onnx,250,4645,,True
task184,True,outputs\onnx\task184.onnx,340,7610,,True
task185,True,outputs\onnx\task185.onnx,595,18881,,True
task186,True,outputs\onnx\task186.onnx,1994,2418,,True
task187,True,outputs\onnx\task187.onnx,1899,8852,,True
task188,True,outputs\onnx\task188.onnx,352,4356,,True
task189,True,outputs\onnx\task189.onnx,1968,8560,,True
task190,True,outputs\onnx\task190.onnx,1538,8781,,True
task191,True,outputs\onnx\task191.onnx,773,132233,,True
task192,True,outputs\onnx\task192.onnx,327,2511,,True
task193,True,outputs\onnx\task193.onnx,327,1925,,True
task194,True,outputs\onnx\task194.onnx,9000,7454,,True
task195,True,outputs\onnx\task195.onnx,4073,5381,,True
task196,True,outputs\onnx\task196.onnx,431,3457,,True
task197,True,outputs\onnx\task197.onnx,92,1758,,True
task198,True,outputs\onnx\task198.onnx,2799,6979,,True
task199,True,outputs\onnx\task199.onnx,378,2948,,True
task200,True,outputs\onnx\task200.onnx,992,14264,,True
task201,True,outputs\onnx\task201.onnx,3246,10924,,True
task202,True,outputs\onnx\task202.onnx,50,3582,,True
task203,True,outputs\onnx\task203.onnx,3544,6437,,True
task204,True,outputs\onnx\task204.onnx,3202,5801,,True
task205,True,outputs\onnx\task205.onnx,1114,48510,,True
task206,True,outputs\onnx\task206.onnx,1020,20303,,True
task207,True,outputs\onnx\task207.onnx,307,2330,,True
task208,True,outputs\onnx\task208.onnx,1806,15885,,True
task209,True,outputs\onnx\task209.onnx,1170350,1294052,,True
task210,True,outputs\onnx\task210.onnx,270,479,,True
task211,True,outputs\onnx\task211.onnx,9000,7454,,True
task212,True,outputs\onnx\task212.onnx,1321,6853,,True
task213,True,outputs\onnx\task213.onnx,660,25091,,True
task214,True,outputs\onnx\task214.onnx,9000,7454,,True
task215,True,outputs\onnx\task215.onnx,559,4015,,True
task216,True,outputs\onnx\task216.onnx,888,20396,,True
task217,True,outputs\onnx\task217.onnx,5649,7268,,True
task218,True,outputs\onnx\task218.onnx,328,9594,,True
task219,True,outputs\onnx\task219.onnx,16894,87016,,True
task220,True,outputs\onnx\task220.onnx,4500,3798,,True
task221,True,outputs\onnx\task221.onnx,15246,13333,,True
task222,True,outputs\onnx\task222.onnx,405,2578,,True
task223,True,outputs\onnx\task223.onnx,4563,4053,,True
task224,True,outputs\onnx\task224.onnx,1240,7753,,True
task225,True,outputs\onnx\task225.onnx,3168,5386,,True
task226,True,outputs\onnx\task226.onnx,867,4694,,True
task227,True,outputs\onnx\task227.onnx,339,1435,,True
task228,True,outputs\onnx\task228.onnx,562,4406,,True
task229,True,outputs\onnx\task229.onnx,357,1735,,True
task230,True,outputs\onnx\task230.onnx,4500,3798,,True
task231,True,outputs\onnx\task231.onnx,866,3468,,True
task232,True,outputs\onnx\task232.onnx,389,2435,,True
task233,True,outputs\onnx\task233.onnx,668250,938774,,True
task234,True,outputs\onnx\task234.onnx,4350,8333,,True
task235,True,outputs\onnx\task235.onnx,750,3931,,True
task236,True,outputs\onnx\task236.onnx,322,1511,,True
task237,True,outputs\onnx\task237.onnx,317,2237,,True
task238,True,outputs\onnx\task238.onnx,4527,11927,,True
task239,True,outputs\onnx\task239.onnx,1284,4143,,True
task240,True,outputs\onnx\task240.onnx,582,3953,,True
task241,True,outputs\onnx\task241.onnx,0,170,,True
task242,True,outputs\onnx\task242.onnx,324,2031,,True
task243,True,outputs\onnx\task243.onnx,244,23604,,True
task244,True,outputs\onnx\task244.onnx,761,6538,,True
task245,True,outputs\onnx\task245.onnx,2537,6141,,True
task246,True,outputs\onnx\task246.onnx,1079,3824,,True
task247,True,outputs\onnx\task247.onnx,241,2056,,True
task248,True,outputs\onnx\task248.onnx,270,2328,,True
task249,True,outputs\onnx\task249.onnx,1699,2901,,True
task250,True,outputs\onnx\task250.onnx,1354,13543,,True
task251,True,outputs\onnx\task251.onnx,205,12507,,True
task252,True,outputs\onnx\task252.onnx,2570,4879,,True
task253,True,outputs\onnx\task253.onnx,2407,3510,,True
task254,True,outputs\onnx\task254.onnx,1086,6052,,True
task255,True,outputs\onnx\task255.onnx,58680,106804,,True
task256,True,outputs\onnx\task256.onnx,6313,8793,,True
task257,True,outputs\onnx\task257.onnx,409,1669,,True
task258,True,outputs\onnx\task258.onnx,565,1476,,True
task259,True,outputs\onnx\task259.onnx,382,3882,,True
task260,True,outputs\onnx\task260.onnx,778,3320,,True
task261,True,outputs\onnx\task261.onnx,1000,995,,True
task262,True,outputs\onnx\task262.onnx,253,1329,,True
task263,True,outputs\onnx\task263.onnx,456,10867,,True
task264,True,outputs\onnx\task264.onnx,3234,10074,,True
task265,True,outputs\onnx\task265.onnx,513,3110,,True
task266,True,outputs\onnx\task266.onnx,4605,4206,,True
task267,True,outputs\onnx\task267.onnx,500,599,,True
task268,True,outputs\onnx\task268.onnx,791,19789,,True
task269,True,outputs\onnx\task269.onnx,568,3349,,True
task270,True,outputs\onnx\task270.onnx,2660,10862,,True
task271,True,outputs\onnx\task271.onnx,439,1993,,True
task272,True,outputs\onnx\task272.onnx,560,1383,,True
task273,True,outputs\onnx\task273.onnx,270,2414,,True
task274,True,outputs\onnx\task274.onnx,2057,3619,,True
task275,True,outputs\onnx\task275.onnx,8736,24193,,True
task276,True,outputs\onnx\task276.onnx,90,217,,True
task277,True,outputs\onnx\task277.onnx,29994,57173,,True
task278,True,outputs\onnx\task278.onnx,1923,3294,,True
task279,True,outputs\onnx\task279.onnx,1510,4658,,True
task280,True,outputs\onnx\task280.onnx,396,16655,,True
task281,True,outputs\onnx\task281.onnx,2499,7659,,True
task282,True,outputs\onnx\task282.onnx,4500,3798,,True
task283,True,outputs\onnx\task283.onnx,4605,4206,,True
task284,True,outputs\onnx\task284.onnx,19017,30975,,True
task285,True,outputs\onnx\task285.onnx,15191,42591,,True
task286,True,outputs\onnx\task286.onnx,4145,13714,,True
task287,True,outputs\onnx\task287.onnx,256,1706,,True
task288,True,outputs\onnx\task288.onnx,821,13869,,True
task289,True,outputs\onnx\task289.onnx,520,2883,,True
task290,True,outputs\onnx\task290.onnx,713,4864,,True
task291,True,outputs\onnx\task291.onnx,4731,6009,,True
task292,True,outputs\onnx\task292.onnx,621,1411,,True
task293,True,outputs\onnx\task293.onnx,4377,9897,,True
task294,True,outputs\onnx\task294.onnx,565,1476,,True
task295,True,outputs\onnx\task295.onnx,389,2771,,True
task296,True,outputs\onnx\task296.onnx,1877,2843,,True
task297,True,outputs\onnx\task297.onnx,428,2778,,True
task298,True,outputs\onnx\task298.onnx,2786,5059,,True
task299,True,outputs\onnx\task299.onnx,414,1980,,True
task300,True,outputs\onnx\task300.onnx,1113,4688,,True
task301,True,outputs\onnx\task301.onnx,16567,19240,,True
task302,True,outputs\onnx\task302.onnx,257,3609,,True
task303,True,outputs\onnx\task303.onnx,1550,2084,,True
task304,True,outputs\onnx\task304.onnx,538,2136,,True
task305,True,outputs\onnx\task305.onnx,1452,1865,,True
task306,True,outputs\onnx\task306.onnx,610,4101,,True
task307,True,outputs\onnx\task307.onnx,4563,4053,,True
task308,True,outputs\onnx\task308.onnx,978,6118,,True
task309,True,outputs\onnx\task309.onnx,90,217,,True
task310,True,outputs\onnx\task310.onnx,2553,5449,,True
task311,True,outputs\onnx\task311.onnx,270,479,,True
task312,True,outputs\onnx\task312.onnx,171,1202,,True
task313,True,outputs\onnx\task313.onnx,40857,39887,,True
task314,True,outputs\onnx\task314.onnx,1558,28414,,True
task315,True,outputs\onnx\task315.onnx,551,1520,,True
task316,True,outputs\onnx\task316.onnx,276,5537,,True
task317,True,outputs\onnx\task317.onnx,4500,3798,,True
task318,True,outputs\onnx\task318.onnx,322,1569,,True
task319,True,outputs\onnx\task319.onnx,78739,247340,,True
task320,True,outputs\onnx\task320.onnx,565,2183,,True
task321,True,outputs\onnx\task321.onnx,731,2449,,True
task322,True,outputs\onnx\task322.onnx,185,1194,,True
task323,True,outputs\onnx\task323.onnx,2999,11252,,True
task324,True,outputs\onnx\task324.onnx,20090,30635,,True
task325,True,outputs\onnx\task325.onnx,3996,5072,,True
task326,True,outputs\onnx\task326.onnx,54,388,,True
task327,True,outputs\onnx\task327.onnx,200,2235,,True
task328,True,outputs\onnx\task328.onnx,9300,16269,,True
task329,True,outputs\onnx\task329.onnx,326,2361,,True
task330,True,outputs\onnx\task330.onnx,6049,43441,,True
task331,True,outputs\onnx\task331.onnx,4605,4217,,True
task332,True,outputs\onnx\task332.onnx,1398,4135,,True
task333,True,outputs\onnx\task333.onnx,393,4379,,True
task334,True,outputs\onnx\task334.onnx,1553,2063,,True
task335,True,outputs\onnx\task335.onnx,694,3914,,True
task336,True,outputs\onnx\task336.onnx,505,5276,,True
task337,True,outputs\onnx\task337.onnx,50,238,,True
task338,True,outputs\onnx\task338.onnx,3335,5846,,True
task339,True,outputs\onnx\task339.onnx,636,2038,,True
