task_id,probe_name,matched_train,matched_test,matched_arc_gen,total_train,total_test,total_arc_gen,formula,uncertainty,builder_possible,risk_level,failure_reason
task363,component_fill_4,0,0,0,3,1,261,"Fill every 0 cell in 4-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task363,component_fill_8,0,0,0,3,1,261,"Fill every 0 cell in 8-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task363,same_size_zero_component_4,0,0,0,3,1,261,"Fill 4-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task363,same_size_zero_component_8,0,0,0,3,1,261,"Fill 8-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task363,same_shape_zero_component_4,0,0,0,3,1,261,"Fill 4-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task363,same_shape_zero_component_8,0,0,0,3,1,261,"Fill 8-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task363,horizontal_zero_runs_by_marker_length,0,0,45,3,1,261,Fill horizontal 0 runs whose length equals any horizontal color-2 run length.,REJECT,yes,medium,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,component_fill_4,0,0,0,4,1,262,"Fill every 0 cell in 4-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,component_fill_8,0,0,0,4,1,262,"Fill every 0 cell in 8-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_size_zero_component_4,0,0,0,4,1,262,"Fill 4-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_size_zero_component_8,0,0,0,4,1,262,"Fill 8-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_shape_zero_component_4,0,0,0,4,1,262,"Fill 4-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_shape_zero_component_8,0,0,0,4,1,262,"Fill 8-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,horizontal_zero_runs_by_marker_length,0,0,0,4,1,262,Fill horizontal 0 runs whose length equals any horizontal color-2 run length.,REJECT,yes,medium,case 0 mismatch; case 0 mismatch; case 0 mismatch
