task_id,replacement_model_path
task024,outputs\candidates\ref6275_zero_initializer_improved_flat\task024.onnx
task034,outputs\candidates\ref6275_zero_initializer_improved_flat\task034.onnx
task050,outputs\candidates\ref6275_zero_initializer_improved_flat\task050.onnx
task081,outputs\candidates\ref6275_zero_initializer_improved_flat\task081.onnx
task096,outputs\candidates\ref6275_zero_initializer_improved_flat\task096.onnx
task109,outputs\candidates\ref6275_zero_initializer_improved_flat\task109.onnx
task125,outputs\candidates\ref6275_zero_initializer_improved_flat\task125.onnx
task139,outputs\candidates\ref6275_zero_initializer_improved_flat\task139.onnx
task195,outputs\candidates\ref6275_zero_initializer_improved_flat\task195.onnx
task204,outputs\candidates\ref6275_zero_initializer_improved_flat\task204.onnx
task231,outputs\candidates\ref6275_zero_initializer_improved_flat\task231.onnx
task239,outputs\candidates\ref6275_zero_initializer_improved_flat\task239.onnx
task246,outputs\candidates\ref6275_zero_initializer_improved_flat\task246.onnx
task277,outputs\candidates\ref6275_zero_initializer_improved_flat\task277.onnx
task280,outputs\candidates\ref6275_zero_initializer_improved_flat\task280.onnx
task281,outputs\candidates\ref6275_zero_initializer_improved_flat\task281.onnx
task285,outputs\candidates\ref6275_zero_initializer_improved_flat\task285.onnx
