task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task001,True,outputs\reference_6275_flat\task001.onnx,150,1082,,True
task002,True,outputs\reference_6275_flat\task002.onnx,765,14560,,True
task003,True,outputs\reference_6275_flat\task003.onnx,138,5000,,True
task004,True,outputs\reference_6275_flat\task004.onnx,3060,2522,,True
task005,True,outputs\reference_6275_flat\task005.onnx,1044,10910,,True
task006,True,outputs\reference_6275_flat\task006.onnx,297,1124,,True
task007,True,outputs\reference_6275_flat\task007.onnx,267,1258,,True
task008,True,outputs\reference_6275_flat\task008.onnx,377,7647,,True
task009,True,outputs\reference_6275_flat\task009.onnx,33147,30956,,True
task010,True,outputs\reference_6275_flat\task010.onnx,432,6176,,True
task011,True,outputs\reference_6275_flat\task011.onnx,7065,10170,,True
task012,True,outputs\reference_6275_flat\task012.onnx,596,1906,,True
task013,True,outputs\reference_6275_flat\task013.onnx,6795,18384,,True
task014,True,outputs\reference_6275_flat\task014.onnx,3375,5317,,True
task015,True,outputs\reference_6275_flat\task015.onnx,4500,3774,,True
task016,True,outputs\reference_6275_flat\task016.onnx,90,158,,True
task017,True,outputs\reference_6275_flat\task017.onnx,1523,5585,,True
task018,True,outputs\reference_6275_flat\task018.onnx,3245,29350,,True
task019,True,outputs\reference_6275_flat\task019.onnx,570,2566,,True
task020,True,outputs\reference_6275_flat\task020.onnx,786,19672,,True
task021,True,outputs\reference_6275_flat\task021.onnx,725,15197,,True
task022,True,outputs\reference_6275_flat\task022.onnx,1061,5021,,True
task023,True,outputs\reference_6275_flat\task023.onnx,303,33105,,True
task024,True,outputs\reference_6275_flat\task024.onnx,765,3233,,True
task025,True,outputs\reference_6275_flat\task025.onnx,447,13460,,True
task026,True,outputs\reference_6275_flat\task026.onnx,210,1309,,True
task027,True,outputs\reference_6275_flat\task027.onnx,329,2073,,True
task028,True,outputs\reference_6275_flat\task028.onnx,857,2079,,True
task029,True,outputs\reference_6275_flat\task029.onnx,978,13589,,True
task030,True,outputs\reference_6275_flat\task030.onnx,924,7164,,True
task031,True,outputs\reference_6275_flat\task031.onnx,470,3417,,True
task032,True,outputs\reference_6275_flat\task032.onnx,409,2347,,True
task033,True,outputs\reference_6275_flat\task033.onnx,369,1510,,True
task034,True,outputs\reference_6275_flat\task034.onnx,7701,8450,,True
