task_id,current_cost,current_file_size,input_shapes,output_shapes,same_shape,shape_relation,colors,likely_rule_families,recommended_action,expected_cost_after_replacement
task133,1406822,783434,16x12;16x18;17x18;15x18,16x12;16x18;17x18;15x18,True,same_shape,0 1 2 3 4 6 8,identity|color_map|mirror_or_rotate|local_neighborhood,"run formal same-shape rules, then inspect changed cells for compact mask algebra",10000
task209,1170350,1294052,17x17;17x18;16x18,9x14;7x7;11x11,False,shrinks_or_crop,0 1 2 3 4 8,fixed_crop|dynamic_bbox_crop|frame_or_substructure_extract,"try crop, dynamic bbox, frame interior, and substructure extraction builders",5000
task076,1147810,948872,13x13;13x13;13x13,13x13;13x13;13x13,True,same_shape,0 1 2 3 4,identity|color_map|mirror_or_rotate|local_neighborhood,"run formal same-shape rules, then inspect changed cells for compact mask algebra",10000
task157,1023477,857911,10x15;10x15,10x15;10x15,True,same_shape,0 1 2 5,identity|color_map|mirror_or_rotate|local_neighborhood|object_edit|mask_recolor,"run formal same-shape rules, then inspect changed cells for compact mask algebra",10000
task233,668250,938774,24x19;20x10;16x12,17x9;8x8;9x9,False,shrinks_or_crop,0 1 2 3 4 5 8,fixed_crop|dynamic_bbox_crop|frame_or_substructure_extract,"try crop, dynamic bbox, frame interior, and substructure extraction builders",5000
task025,332565,826752,18x19;15x14;15x16,18x19;15x14;15x16,True,same_shape,0 1 2 3 4 8,identity|color_map|mirror_or_rotate|local_neighborhood|object_edit|mask_recolor,"run formal same-shape rules, then inspect changed cells for compact mask algebra",10000
task367,295949,293653,12x19;13x16;15x17,12x19;13x16;15x17,True,same_shape,0 4 5,identity|color_map|mirror_or_rotate|local_neighborhood|object_edit|mask_recolor,"run formal same-shape rules, then inspect changed cells for compact mask algebra",10000
task366,266691,1269927,30x17;11x20;10x16,15x17;11x10;10x8,False,shrinks_or_crop,0 1 2 3 4 6 8,fixed_crop|dynamic_bbox_crop|frame_or_substructure_extract,"try crop, dynamic bbox, frame interior, and substructure extraction builders",5000
task363,193941,170389,10x10;10x10;10x10,10x10;10x10;10x10,True,same_shape,0 2 5,identity|color_map|mirror_or_rotate|local_neighborhood,"run formal same-shape rules, then inspect changed cells for compact mask algebra",10000
task319,78739,247340,17x17;18x18;19x17;15x17,5x5;5x3;5x3;3x5,False,shrinks_or_crop,1 2 3 4 6 8,fixed_crop|dynamic_bbox_crop|frame_or_substructure_extract,"try crop, dynamic bbox, frame interior, and substructure extraction builders",5000
