task_id,candidate_rule,python_transform_passed,onnx_builder_available,onnx_validation_passed,blocked_reason,estimated_codegen_difficulty,expected_gain_bucket
task036,DynamicBBoxCropRule,True,False,False,builder_missing_dynamic_bbox,medium,high
task036,FrameInteriorRule,True,False,False,builder_missing_dynamic_bbox,high,medium
task036,ComposedRuleSearch,True,False,False,requires_composed_rule,medium,high
task065,PanelSemanticRule,True,False,False,builder_missing_dynamic_panel_select,medium,high
task079,FrameInteriorRule,True,False,False,builder_missing_dynamic_bbox,high,medium
task100,FrameInteriorRule,True,False,False,builder_missing_dynamic_bbox,high,medium
task153,FrameInteriorRule,True,False,False,builder_missing_dynamic_bbox,high,medium
task174,DynamicBBoxCropRule,True,False,False,builder_missing_dynamic_bbox,medium,high
task174,FrameInteriorRule,True,False,False,builder_missing_dynamic_bbox,high,medium
task174,ComposedRuleSearch,True,False,False,requires_composed_rule,medium,high
task207,PanelSemanticRule,True,False,False,builder_missing_dynamic_panel_select,medium,high
