task_id,probe_name,matched_train,matched_test,matched_arc_gen,total_train,total_test,total_arc_gen,formula,uncertainty,builder_possible,risk_level,failure_reason
task076,component_fill_4,0,0,0,3,1,262,"Fill every 0 cell in 4-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,component_fill_8,0,0,0,3,1,262,"Fill every 0 cell in 8-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,same_size_zero_component_4,0,0,0,3,1,262,"Fill 4-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,same_size_zero_component_8,0,0,0,3,1,262,"Fill 8-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,same_shape_zero_component_4,0,0,0,3,1,262,"Fill 4-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,same_shape_zero_component_8,0,0,0,3,1,262,"Fill 8-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,horizontal_zero_runs_by_marker_length,0,0,0,3,1,262,Fill horizontal 0 runs whose length equals any horizontal color-2 run length.,REJECT,yes,medium,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,two_panel_marker_object_transfer,0,0,0,3,1,262,Split the input into two equal panels; copy source-panel objects onto the sparse marker panel when marker-color layouts match.,REJECT,hard,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task076,orientation_aware_marker_copy,3,1,262,3,1,262,Complete sparse marker objects by copying decorations from same-shape 8-connected color-4 templates under a dihedral transform.,POSSIBLE,hard,high,
task133,component_fill_4,0,0,0,4,1,262,"Fill every 0 cell in 4-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,component_fill_8,0,0,0,4,1,262,"Fill every 0 cell in 8-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_size_zero_component_4,0,0,0,4,1,262,"Fill 4-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_size_zero_component_8,0,0,0,4,1,262,"Fill 8-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_shape_zero_component_4,0,0,0,4,1,262,"Fill 4-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,same_shape_zero_component_8,0,0,0,4,1,262,"Fill 8-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,horizontal_zero_runs_by_marker_length,0,0,0,4,1,262,Fill horizontal 0 runs whose length equals any horizontal color-2 run length.,REJECT,yes,medium,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,two_panel_marker_object_transfer,0,0,0,4,1,262,Split the input into two equal panels; copy source-panel objects onto the sparse marker panel when marker-color layouts match.,REJECT,hard,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task133,orientation_aware_marker_copy,0,0,0,4,1,262,Complete sparse marker objects by copying decorations from same-shape 8-connected color-4 templates under a dihedral transform.,REJECT,hard,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,component_fill_4,0,0,0,2,1,262,"Fill every 0 cell in 4-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,component_fill_8,0,0,0,2,1,262,"Fill every 0 cell in 8-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,same_size_zero_component_4,0,0,0,2,1,262,"Fill 4-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,same_size_zero_component_8,0,0,0,2,1,262,"Fill 8-connected 0 components whose size equals a {0,2} marker component size.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,same_shape_zero_component_4,0,0,0,2,1,262,"Fill 4-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,same_shape_zero_component_8,0,0,0,2,1,262,"Fill 8-connected 0 components matching a {0,2} marker component normalized shape.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,horizontal_zero_runs_by_marker_length,0,0,0,2,1,262,Fill horizontal 0 runs whose length equals any horizontal color-2 run length.,REJECT,yes,medium,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,two_panel_marker_object_transfer,0,0,0,2,1,262,Split the input into two equal panels; copy source-panel objects onto the sparse marker panel when marker-color layouts match.,REJECT,hard,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task157,orientation_aware_marker_copy,0,0,0,2,1,262,Complete sparse marker objects by copying decorations from same-shape 8-connected color-4 templates under a dihedral transform.,REJECT,hard,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
task233,component_fill_4,0,0,0,3,1,262,"Fill every 0 cell in 4-connected {0,2} components that contain color 2.",REJECT,maybe,high,case 0 mismatch; case 0 mismatch; case 0 mismatch
