task_id,model_cost,init_name,shape,dtype,num_elements,nbytes,init_class,is_permutation,is_row_bank,is_interval_table,is_mask_bank,is_template_bank,is_transform_bank,is_one_hot,one_hot_ratio,num_unique,value_range,sparsity,consumer_ops,downstream_chain,can_be_gather,can_be_formula,can_be_small_conv,decompilation_notes
task157,809080,plac_idx_963,1044x150,int32,156600,626400,template_bank,False,False,False,False,True,False,False,0.0,544,"[15,603]",0.0,Gather,Gather→Reshape→ReduceSum→Mul→Gather→Gather→Gather→Gather→Gather→ReduceSum,False,False,False,
task133,1406822,anchor_vector_bank,8100x1x10x1x1,float32,81000,324000,sparse_binary_mask,False,False,False,True,False,False,False,0.1,2,"[0.0,1.0]",0.9,Gather,Gather→Reshape→Mul→ReduceSum,True,False,False,
task133,1406822,non_anchor_vector_bank,8100x1x10x1x1,float32,81000,324000,sparse_one_hot,False,False,False,False,False,False,False,0.8,2,"[0.0,1.0]",0.2,Gather,Gather→Reshape→Mul→ReduceSum,True,False,False,
task133,1406822,patch_starts_bank,8100x4,int64,32400,259200,row_bank_lookup,False,True,False,False,False,False,False,0.0,30,"[0,29]",0.5167,Gather,Gather→Reshape→Slice→Mul,False,False,False,
task133,1406822,patch_ends_bank,8100x4,int64,32400,259200,row_bank_lookup,False,True,False,False,False,False,False,0.0,33,"[1,35]",0.0,Gather,Gather→Reshape→Slice→Mul,False,False,False,
task363,193391,wk,100x1x19x19,float32,36100,144400,sparse_binary_mask,False,False,False,True,False,False,False,0.0526,2,"[0.0,1.0]",0.9972,Conv,Conv→Conv→Mul→ReduceSum→ReduceSum→Mul→Mul→Mul→Mul→Mul,True,False,False,
task233,661410,combo,3125x5,int64,15625,125000,row_bank_lookup,False,True,False,False,False,False,False,0.0,5,"[0,4]",0.2,Gather,Gather→Slice→Slice→Slice→Slice→Slice→Gather→Gather→Gather→Gather,False,False,False,
task366,260211,/Constant_721_output_0,1x10x29x59,float32,17110,68440,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Conv→Conv→Conv→Conv→Conv→Conv,True,False,False,
task233,661410,onnx::ReduceSum_3118,3125x5,float32,15625,62500,unknown,False,False,False,False,False,False,False,0.0003,21,"[0.0,2500.0]",0.2,ReduceSum,ReduceSum→Where→ReduceMin→Equal→Cast→Equal,False,False,False,
task028,63050,bg,1x10x30x30,float32,9000,36000,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9947,Add,Add,False,False,False,
task366,260211,/Constant_874_output_0,1x10x30x30,float32,9000,36000,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task366,260211,/Constant_1281_output_0,10x30x30,float32,9000,36000,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,ScatterND;Add,ScatterND→ScatterND→ScatterND→ScatterND→Add→ScatterND→ScatterND→ScatterND→ScatterND→ScatterND,True,False,False,
task366,260211,/Constant_720_output_0,1x10x30x29,float32,8700,34800,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat→Conv→Conv,True,False,False,
