task_id,input_shape_relation,output_shape_relation,same_shape,crop,expand,panel,scale,num_colors_in,num_colors_out,color_role_stability,has_frame,has_panel_separator,has_objects,has_lines,has_holes,has_symmetry,has_periodicity,has_translation,has_recolor,has_counting,has_template_copy,current_cost,potential_to_1000,current_model_source,known_online_status,family,family_reason
task001,3x3;3x3;3x3;3x3;3x3,9x9;9x9;9x9;9x9;9x9,False,False,True,True,True,5,5,0.0,False,True,True,True,True,horizontal,False,False,False,False,True,172,0,outputs\onnx\task001.onnx,tried,C,panel_selection_or_algebra
task002,6x6;10x10;10x10;10x10;20x20,6x6;10x10;10x10;10x10;20x20,True,False,False,False,False,2,3,0.5,False,False,True,False,True,rotational,False,True,True,False,True,1965,0.6755,outputs\onnx\task002.onnx,tried,E,hole_fill_or_enclosed_region
task003,6x3;6x3;6x3,9x3;9x3;9x3,False,False,True,True,False,2,2,0.0,False,True,True,True,True,horizontal,False,False,True,False,False,74,0,outputs\onnx\task003.onnx,tried,C,panel_selection_or_algebra
task004,14x9;8x9,14x9;8x9,True,False,False,False,False,4,4,0.0,False,False,True,False,True,none,False,False,False,False,True,3060,1.1184,outputs\onnx\task004.onnx,tried,E,hole_fill_or_enclosed_region
task005,21x21;21x21;21x21,21x21;21x21;21x21,True,False,False,False,False,8,8,0.875,False,False,True,False,True,none,False,True,False,False,True,1044,0.0431,outputs\onnx\task005.onnx,tried,E,hole_fill_or_enclosed_region
task006,3x7;3x7;3x7,3x3;3x3;3x3,False,True,False,True,False,3,2,0.0,False,True,True,False,True,vertical,False,False,True,False,False,339,0,outputs\onnx\task006.onnx,tried,B,bbox_crop_or_object_extraction
task007,7x7;7x7;7x7,7x7;7x7;7x7,True,False,False,False,False,6,5,0.8333,False,False,True,False,False,none,False,True,False,False,True,271,0,outputs\onnx\task007.onnx,tried,H,object_copy_or_marker_paste
task008,14x9;9x10;11x10,14x9;9x10;11x10,True,False,False,False,False,3,3,0.6667,False,False,True,False,False,none,False,False,False,False,True,382,0,outputs\onnx\task008.onnx,tried,H,object_copy_or_marker_paste
task009,20x20;23x23;23x23,20x20;23x23;23x23,True,False,False,True,False,7,7,0.8571,False,True,False,True,True,none,False,True,False,False,True,33147,3.501,outputs\onnx\task009.onnx,tried,C,panel_selection_or_algebra
task010,9x9;9x9,9x9;9x9,True,False,False,True,False,2,5,0.5,False,True,True,True,False,none,False,False,True,False,False,521,0,outputs\onnx\task010.onnx,tried,C,panel_selection_or_algebra
task011,11x11;11x11;11x11;11x11,11x11;11x11;11x11;11x11,True,False,False,True,False,7,6,0.1429,False,True,True,True,True,none,False,True,False,False,True,7065,1.9552,outputs\onnx\task011.onnx,tried,C,panel_selection_or_algebra
task012,12x12;12x12,12x12;12x12,True,False,False,False,False,5,5,0.8,False,False,True,False,False,none,False,True,False,False,True,587,0,outputs\onnx\task012.onnx,tried,H,object_copy_or_marker_paste
