task_id,current_cost,current_file_size,rule_name,match_status,match_confidence,match_reason,builder_available,candidate_model_path,validation_passed,candidate_cost,candidate_file_size,failure_reason,replace_recommended,selected_replacement
task209,144226,349736,IdentityRule,REJECT,REJECT,output_size_differs_from_input_size,False,,,,,,False,False
task209,144226,349736,ColorMapRule,REJECT,REJECT,output_size_differs_from_input_size,False,,,,,,False,False
task209,144226,349736,OneStepTranslationRule,REJECT,REJECT,output_size_differs_from_input_size,False,,,,,,False,False
task209,144226,349736,MirrorRule,REJECT,REJECT,output_size_differs_from_input_size,False,,,,,,False,False
task209,144226,349736,DynamicActiveMirrorRule,REJECT,REJECT,dynamic_active_mirror_requires_same_size,False,,,,,,False,False
task209,144226,349736,DiagonalBottomFillRule,REJECT,REJECT,diagonal_bottom_fill_requires_same_size,False,,,,,,False,False
task209,144226,349736,BottomMarkerVerticalStripeRule,REJECT,REJECT,bottom_marker_vertical_stripes_requires_same_size,False,,,,,,False,False
task209,144226,349736,TwoMarkerHorizontalBandRule,REJECT,REJECT,two_marker_bands_requires_same_size,False,,,,,,False,False
task209,144226,349736,DynamicLineProjectionRule,REJECT,REJECT,line_projection_requires_same_size,False,,,,,,False,False
task209,144226,349736,DynamicRectangularCavityFillRule,REJECT,REJECT,rectangular_cavity_requires_same_size,False,,,,,,False,False
task209,144226,349736,RotateRule,REJECT,REJECT,output_size_differs_from_input_size,False,,,,,,False,False
task209,144226,349736,CropRule,REJECT,REJECT,crop_requires_one_shared_output_size,False,,,,,,False,False
task209,144226,349736,ScaleRepeatRule,REJECT,REJECT,no fixed scale repeat matches all train cases,False,,,,,,False,False
task209,144226,349736,StridedSubsampleRule,REJECT,REJECT,strided_subsample_requires_shared_shapes,False,,,,,,False,False
task209,144226,349736,TileRepeatRule,REJECT,REJECT,tile_repeat_requires_shared_shapes,False,,,,,,False,False
task209,144226,349736,MirrorConcatRule,REJECT,REJECT,mirror_concat_requires_shared_shapes,False,,,,,,False,False
task209,144226,349736,SelfKronMaskRule,REJECT,REJECT,self_kron_requires_one_shared_input_shape,False,,,,,,False,False
task209,144226,349736,GeneralizedPanelRule,REJECT,REJECT,generalized_panel_requires_shared_output_shape,False,,,,,,False,False
task209,144226,349736,PanelSeparatorBinaryOpRule,REJECT,REJECT,no complete equal-size panel separator found,False,,,,,,False,False
